RefID, ClusterID
A990598, A990598
A990599, A990599
A990600, A990600
A990601, A990601
A990602, A990602
A990603, A990603
A990604, A990604
A990605, A990605
A990606, A990606
A990607, A990607
A990608, A990608
A990609, A990609
A990610, A990610
A990611, A990611
A990612, A990612
A990613, A990613
A990614, A990614
A990615, A990615
A990616, A990616
A990617, A990617
A990618, A990618
A990619, A990619
A990620, A990620
A990621, A990621
A990622, A990622
A990623, A990623
A990624, A990624
A990625, A990625
A990626, A990626
A990627, A990627
A990628, A990628
A990629, A990629
A990630, A990630
A990631, A990631
A990632, A990632
A990633, A990633
A990634, A990634
A990635, A990635
A990636, A990636
A990637, A990637
A990638, A990638
A990639, A990639
A990640, A990640
A990641, A990641
A990642, A990642
A990643, A990643
A990644, A990644
A990645, A990645
A990646, A990646
A990647, A990647
A990648, A990648
A990649, A990649
A990650, A990650
A990651, A990651
A990652, A990652
A990653, A990653
A990654, A990654
A990655, A990655
A990656, A990656
A990657, A990657
A990658, A990658
A990659, A990659
A990660, A990660
A990661, A990661
A990662, A990662
A990663, A990663
A990664, A990073
A990665, A990665
A990666, A990666
A990667, A990667
A990668, A990668
A990669, A990669
A990670, A989473
A990671, A990671
A990672, A989432
A990673, A990673
A990674, A990674
A990675, A990675
A990676, A990676
A990677, A990677
A990678, A990678
A990679, A990679
A990680, A990680
A990681, A990681
A990682, A990682
A990683, A990683
A990684, A990684
A990685, A990685
A990686, A990686
A990687, A990687
A990688, A990688
A990689, A990689
A990690, A990690
A990691, A990691
A990692, A990692
A990693, A990693
A990694, A990694
A990695, A990695
A990696, A990696
A990697, A990697
A990698, A990698
A990699, A990699
A990700, A990700
A990701, A990701
A990702, A990702
A990703, A990703
A990704, A990704
A990705, A990705
A990706, A990706
A990707, A990707
A990708, A990708
A990709, A990709
A990710, A990710
A990711, A990711
A990712, A990712
A990713, A990713
A990714, A990714
A990715, A990715
A990716, A990716
A990717, A990717
A990718, A990718
A990719, A990719
A990720, A990720
A990721, A990721
A990722, A990722
A990723, A990723
A990724, A990724
A990725, A990725
A990726, A990726
A990727, A990727
A990728, A990728
A990729, A990729
A990730, A990730
A990731, A990731
A990732, A990732
A990733, A990733
A990734, A990734
A990735, A990735
A990736, A990736
A990737, A990737
A990738, A990162
A990739, A990739
A990740, A990740
A990741, A990741
A990742, A990742
A990743, A990743
